Name,Meaning
Adédàmọ́lá,Royalty has joined up with prestige/success/nobility.
Adédàpọ̀,Two crowns have joined together.
Adédayọ̀,The crown has become joy.
Adédèjì,The crown has become two.
Adédibú,"1. The crown has become an ocean, has become wide and influential.
2. One who arrives in time to become as deep/influential as the ocean."
Adédìjí,Royalty has turned into a whirlwind.
Adédípẹ̀,Royalty paid back.
Adédiwúrà,"The crown has become gold, precious."
Adédọlápọ̀,Royalty has nobility mixed in.
Adédọ̀tun,The crown has been renewed.
Adédoyin,The crown has become sweet.
Adédùntán,The crown has become sweet.
Adéẹ̀kọ̀ọ́,The crown of teaching.
Adéfàlà,The crown has drawn a white cloth of the Ọbàtálá.
Adéfẹhìntì,The crown has retired.
Adéfẹlá,The crown acts honourably.
Adéfilá,Royalty struts with this (child).
Adéfọláhàn,The crown has shown the expanse of wealth.
Adéfọlárìn,The crown uses wealth to walk.
Adéfowórà,The crown (child) that we got at great monetary cost.
Adéfúnkẹ́,The crown has given me to cherish.
Adégbàmóyè,The crown that we have added to our chieftaincy.
Adégbénjó,The crown dances with me in its hands.
Adégbilé,The crown fills/takes over the house.
Adégbìtẹ́,The crown has aquired the throne.
Adégbọlá,"1. The crown has acquired wealth.
2. One that collects honor/wealth/nobility on arrival.
3. The crown has space for wealth/affluence, etc"
Adégbóyèjẹ,The crown has earned this chieftaincy.
Adégbulé,Royalty fills the house.
Adégòkè,The crown has ascended.
Adégoróyè,The crown has ascended the throne.
Adégún,"The crown is straight, proper, appropriately set."
Adéìfẹ́,The crown of love.
Adéìyá,The crown of motherhood.
Adéjàre,"The crown is justified.
The crown has overcome"
Adéjísọlá,The crown wakes up to wealth.
Adéjọbí,The crown gave birth to us together.
Adéjọrọ̀,The crown benefits from wealth.
Adéjùmọ̀bí,The crown work together to birth (me).
Adéjùmọ̀kẹ́,The crown works together to pet this one.
Adékànbí,The crown deliberately birthed me.
Adékànmí,The crown is now my turn.
Adékanyè,The crown is next in line for the chieftaincy.
Adékẹlà,The crown expanded wealth.
Adékọ̀gbẹ́,"1. The (child of the) crown rejects the jungle (where it would have been buried).
2. See below for another meaning."
Adékọ́lá,The crown gathers wealth.
Adékọyà,The crown rejects suffering (on our behalf). Royalty defended us (from suffering).
Adékúnlé,"1. The crown fills the house. 
2. We have arrived to fill the house."
Adékùsíbẹ̀,The crown remains there still.
Adélabú,Royalty transcends the oceans.
Adélàjà,The crown has calmed the fight.
Adélákin,The crown has fortitude.
Adélakùn,The crown has opened this womb.
Adélànà,The crown has led/opened the way.
Adélàńwá,The crown is what we're looking for.
Adélẹ́kàn,The crown is rooted.
Adélékè,The crown has triumphed.
Adélẹ́yẹ,The crown has honour.
Adélọjà,The crown is the market.
Adélọ́wọ̀,The crown has honour.
Adéloyè,The crown is chieftaincy/honour.
Adélùgbà,The crown has (its) seasons.
Adémáyọ̀wá,The crown has brought (us) joy.
Adémọ́lá,"1. We have arrived along with wealth.
2. Crown along with nobility/wealth."
Adémólú,The crown has taken the lead.
Adémúlẹ̀gún,The crown has made the town proper.
Adénẹ́bí,The crown has family/kin/relatives.
Adénẹ́kàn,The crown is well rooted.
Adénijẹ,
Adéníji,The crown has fame.
Adéníkẹ́,"The crown is to be treasured, to care dearly for, to esteem highly."
Adéníran,"1. The royal family has a known ancestry. 
2. The king (or head) has a vision.
3. My lineage has royalty."
Adéníyì,The crown has honour.
Adénlé,The crown is home.
Adénrelé,The crown is heading home.
Adénúbi,The crown has pedigree.
Adénúgà,The crown has a foundation.
Adénúsì,
Adéògo,The crown of glory.
Adéogún,The crown of Ògún.
Adéolú,"1. God's crown.
2. The crown of success."
Adéọ̀ṣun,The crown of Ọ̀ṣun.
Adéòtí,Royalty does not fade.
Adéoyè,The crown of honour.
Adépégba,(Our) royalty is in abundance.
Adérántí,The crown remembers.
Adéráyọ̀,"The crown has seen joy, One who arrives to meet joy"
Adérelé,The crown has returned home.
Adérẹ̀mí,The crown comforts me.
Adérẹ̀mílẹ́kún,The crown stops my crying.
Adéríbigbé,The crown has found a place to live.
Adérìnsọ́lá,Royalty has walked into wealth/nobility.
Adérìntọ́,The crown walks well.
Adéríyì́kẹ́,The crown has found this one to pet.
Adérọ̀gbà,The crown offers support. Royalty surrounds me.
Adérójú,(Our) Royalty is at ease/at peace.
Adérónkẹ́,The crown has found something to cherish.
Adérọ́pò,The crown has replaced.
Adérótìmí,The crown is staying with me.
Adésanmí,The crown has paid me.
Adésanwó,The crown has paid.
Adésànyà,The crown has paid back its suffering.
Adésẹ́gun,The crown has conquered.
Adésẹ̀mọ́wọ́,
Adéṣẹ́tẹ̀,The crown is victorious over plots against it.
Adéṣẹwà,The crown makes beauty.
Adésiyan,Royalty makes merry.
Adésọjí,The crown has woken up.
Adéṣọ̀kàn,"The crown [as a symbol of nobility] is not unified, i.e. cannot be monopolized. [See below for more explanation]"
Adésọ́lá,"HOMOGRAPH

Adésọ́lá
1. We came into wealth.
----
Adéṣọlá
1. Royalty made wealth.
2. We came to make wealth"
Adésọmójú,
Adéṣọ̀tẹ̀,The crown has done mutiny.
Adésùbòmí,
Adésúji,Royalty makes a shade (for us).
Adésuwà,The crown makes wealth. [verification needed]
Adéṣuyì,Royalty makes honor/value
Adétilọlá,The crown has gotten wealth.
Adétimíkàn,What royalty pushed me to reach.
Adétókẹ́,This (child of the) crown is worth cherishing.
Adétòkunbọ̀,Royalty returns from abroad. The crown comes back from abroad.
Adétòrò,The crown is calm.
Adétóún,Royalty worth celebrating. A crown worth cherishing.
Adétówùnmi,The crown that I desire.
Adétóyè,The crown is worth chieftaincy.
Adétóyèṣe,The crown has repaired chieftaincy.
Adétúgbọ̀,The crown is worth paying attention to.
Adétúlà,Royalty survived again.
Adétulẹ̀,Royalty established the town.
Adétùmínínú,The crown comforts me.
Adétúnjí,The crown has risen again.
Adétútù,"""The gentle crown"" or ""The crown is gentle"""
Adéwálé,The crown has come home.
Adéwọlé,The crown has entered the house.
Adéwọyin,The crown enters sweetness
Adéwùnmí,I desire the crown. Royalty attracts me.
Adéwùsì,Royalty multiplies/is influential.
Adéwuyì,The crown increases/cultivates value. The crown is valuable.
Adéyẹfá,The crown is befitting of Ifá.
Adéyẹmí,The crown is befitting of me.
Adéyẹyè,Honour befits the crown.
Àdèyí,
Adéyinfá,The crown praises Ifá.
Adéyínká,The crown surrounds me.
Adéyọọ́yè,
Adéyọ̀sọ́lá,The crown rejoices in wealth.
Adífásẹ,One who divines and it comes true.
Àdìgún,The perfectionist.
Àdìó,An oríkì
Adìsá,One bundled up and spread to dry.
Adúlójú,The one with black eyeballs.
Àdùnní,The one pleasant to have. Sweet personality.
Afeso,
Afọlábí,"One born in a wealthy manner, place or time."
Afọláyan,One who struts with wealth.
Agbábíàká,One who struts (confidently) like a granary/barn.
Agbájé,
Àgbẹ̀bíyí,The farmer gave birth to this.
Àgbékẹ́,One gently pampered.
Agboọlá,The gathering of wealth.
Agbówórìn,One who carries money along with him everywhere.
Àgọ̀í,
Àgùdà,The name has been used to refer to the Afro-Brazilian returnees to Lagos in the late 19th Century who headed the Roman-Catholic churches (even though most of them retained their Òrìṣà-worshipping backgrounds). The name first came into use in Lagos around 1835 when the first wave of returnees came into town.
Agúnlóyè,One with a proper chieftaincy title.  One with a befitting reign.
Àìná,"Àìná is the name of a female (or sometimes male) child born with the umbilical cord around his or her neck. In most cases, though, the male equivalent is named Òjọ́."
Aiyénítajú,"There is no hurry in life: ""Aiye ò ní ìkánjú"""
Ajagungbadé,One who fights wars in order to get the crown.
Àjàlá,One who has fought and survived.
Àjàní,One (we) fought for to have.
Àjàyí,A child born face upwards (i.e. the occiput posterior position)
Ajénifújà,Wealth/business is fashion.
Ajétúmọbí,Resourcefulness birthed the child again.
Ajíbádé,One who wakes up to meet royalty.
Ajíbọ́lá,One who wakes up to meet honour/nobility/wealth.
Ajíbóyè,One who wakes up to meet chieftaincy.
Àjíkẹ́,One who wakes up to petting/care/cherishing.
Ajílẹrù,One who wakes up with a load.
Ajímọ̀bi,One who wakes up to know the circumstance of his birth.
Ajíṣafẹ́,One who wakes up to make fashion.
Ajíṣọlá,"One who wakes up to make wealth: Ajíṣọlá
One who wakes up into wealth/success: Ajísọ́lá"
Ajítòní,"One who wakes up today, at least."
Ajóbíewé,One who dances like leaves.
Ajọ́sẹ̀,Jose
Àjùmọ̀bí,One born of a number of people.
Àkànbí,"One consciously, deliberately, born."
Àkàngbé,"One consciously, deliberately, carried."
Akérédolú,"1. One who becomes prominent at a young age.
2. He who reduces (humbles) himself in order to become king."
Akéréle,One that has been tough from a young age.
Akínbádé,Valor met the crown.
Akínbándé,Valor comes with me.
Akínbíyì,Valor gave birth to this.
Akínbọ̀bọ́lá,Valor returned and met success/wealth.
Akínbọ́lá,Valor meets wealth.
Akínbọ́lájí,Valor wakes up with wealth.
Akíndayọ̀mi,
Akíndẹ́kọ̀,
Akíndélé,Valor has arrived home.
Akíndọlápọ̀,Valor mixes wealth together.
Akíndọ̀tun,Valor is renewed.
Akíndúró,Valor stands. Valor waits.
Akínfọlájìnmí,Valor rewarded me with wealth.
Akíngbọlá,Valor accepts wealth.
Akínjógbìn,
Akínkúnmi,Valor has been added to me.
Akinkùótù,The brave ones still exist.
Akínkùówó,Valor remains in wealth.
Akinladé,"1. Valor is our head covering.
2. Valor is a crown."
Akinlẹ̀yẹ,Valor is honour
Akinoṣó,The valor of the sorcerer.
Akinoyè,The valor of chieftaincy.
Akínpàdé,The valiant ones meet.
Akínrántí,Valor remembers.
Akínrelé,Valor departs for home.
Akínrẹ̀mí,Valor consoles me.
Akínrìnóyè,Valor walks right into chieftaincy.
Akínrọ́labú,Valor jumps into the deep.
Akínrótìmí,Valor stays with me.
Akínsẹ́tẹ̀,Valor conquered all intrigues.
Akínsẹ̀yẹ,Valor makes ornaments.
Akínṣìkù,Valor remains still.
Akínṣọlá,Valor makes wealth.
Akínsolúgbà,
Akínsomọ́jú,
Akínsọ̀wọ́n,Valor is scarce.
Akínsọ̀yínù,Valor lost this.
Akínsùbòmí,Valor gathers around me.
Akíntádé,Valor is equal to the crown.
Akíntán,Valor is finished.
Akíntọ̀mídé,Valor finds me.
Akíntọ̀míwá,Valor comes to me.
Akíntọ̀ndé,Valor comes to me.
Akíntọ̀nwá,Valor comes to me.
Akíntóyè,Valor is equal to chieftaincy.
Akíntúndé,The hero/valiant one has returned.
Akínwálé,Valor has come home.
Akínwàlérè,There is valor as a reward.
Akínwándé,Valor sought me here.
Akínwọwọ́,"Valor has come into hand.

[Verification needed]"
Akínwùnmí,Valor attracts me.
Akínwùsì,
Akínyẹlé,Valor is worthy of the house.
Akínyẹmí,I'm well-suited to valor.
Akíyọdé,
Akọ́ládé,One who brings success.
Àlàbá,The fourth of quadruplets.
Àlàdé,"HOMOGRAPH
1. One who survives to arrive. (Àlàdé)
2. The white cloth (of Ọbàtálá) arrives (Àlàdé)
3. Prince (Aládé)"
Aládémọmi,The owner of the crown knows me.
Aládéọ̀kín,The owner of the crown of peacocks.
Aladodo,
Alákindé,The valiant one is here.
Àlàmú,One we survived to catch.
Àlàó,One destined to divide and conquer his/her enemies.
Alápini,
Alárápé,The one with family is complete.
Aláwiyé,One who speaks until people understand.
Aláwodé,The elders of secrets have arrived.
Aláyàndé,The drummer has arrived.
Alẹ́yinlọ́bẹ̀,One with eggs in his soup.
Álímì,"Yorùbá's version of the Arabic name ""Aleem"", meaning 'knowledgeable' or 'learned' or 'wise'."
Alọ́ba,"1. Owner of kings.
2. We have kings (in our family)."
Alóńgẹ́,A person of slim and slender build.
Àlùkò,The name of a rare bird.
Amaku,
Ambọ̀dé,One we brought back (from a journey).
Amógunlà,One who uses wars to survive.
Àmọ̀kẹ́,To know (her) is to care for (her).
Àmọ̀lé,One we continue to know.
Amúsàn,"This is a traditional Yorùbá name given to a baby boy born with a membrane covering his head, thus looking like a masquerade. (Babalọlá & Àlàbá (2003)"
Aníbaba,The owner of fathers.
Anífowóṣe,One who has things to spend money on.
Àníkẹ́,One you have/possess and cherish.
Anímáṣaun,One who has and is not thrifty.
Aníre,One who has/possesses good luck/success/blessing.
Aniyìkáyé,One of tremendous worth around the world.
Anjọlá,We're enjoying wealth.
Ańjọláolúwa,We're enjoying the wealth of the lord.
Apálará,The arms are one's closest kin.
Arálamọ̀,We only know kin.
Arẹjẹ,
Aríbisálà,One who has found a place to run to in order to survive.
Arígbábuwó,"1. One who has the calabash big enough to gather money.
2. We have a calabash big enough to gather money."
Àrìnpé,One who walks complete.
Aríṣekọ́lá,He who adds success to great wealth.
Aríyìbí,We've found this one to give birth to.
Àriyọ̀,One we see and rejoice.
Arógbo,
Arógunmásà́,One not troubled by upheaval.
Arómásọdú,Dye makes clothes black.
Arómókùn,One tied up with a rope.
Arómọlárà́n,One who wraps children in velvet.
Arówóṣẹgbẹ́,He with money enough to court (good) company.
Aṣàníkẹ̀ẹ́,
Aṣayé,One who runs the world.
Aṣímọlówó,"One who counts his/her children as if counting money.
(Basically, blessed with so many children s/he does a lot of kid-counting)."
Àtàndá,One born to shine.
Atáyérọ,Capable of retooling the world.
Atẹ́rẹ́,The straightforward one.
Atiládé,We've always had crowns.
Atinúkẹ́,Cherished from the womb.
Atọ́batẹ́lẹ̀,One who was worthy of kingship before ascending the throne.
Atókí,"One worth greeting, saluting."
Atóyèbí,One big enough to birth chieftaincy.
Aúdù,"Yorùbá's version of the Arabic name ""Abdullah""."
Awẹ́,The slim one.
Awóbọ̀,The oracle returns.
Awóbódù,The priesthood met the ifá corpus.
Awóbokun,The (child of) Ifá priesthood meets the ocean.
Awódélé,The oracle has arrived home.
Awójọbí,The oracle contributed to the birth of this.
Awólàlú,Ifá is widely worshiped (all over town)
Awólọ,The oracle has gone.
Awólọ́wọ̀,The priesthood has dignity.
Awómódù,The cult/priesthood is at one with the Ifá corpus. [Verification needed]
Awóníyì,The diviner is valuable.
Awónúbi,
Awósìkà,The oracle does not do evil.
Awóyẹlé,The oracle belongs in the house.
Awóyinfá,The initiate praises Ifá.
Awóyọkùn,The oracle has grown a potbelly (has grown wealthy).
Àyàndélé,The drummer has arrived home.
Ayéfẹ́lẹ́,The world is fragile.
Ayégbajẹ́jẹ́,Life is best enjoyed slowly/carefully.
Ayéjinà,
Ayélẹ́rù,The world has frights. The world is a scary place.
Ayẹni,He or that which is deserving or befitting.
Àyìndé,One who arrives when praised.
Àyìnlá,"A child meant to be praised, fetted, and disciplined."
Ayọ̀bádé,Joy meets the crown.
Ayọ̀bámi,Joy has met me.
Ayọ̀bámidé,Joy has come with me.
Ayọ̀bánjí,Joy woke up with me.
Ayọ̀dejì,Joy has become two.
Ayọ̀délé,Joy has arrived home.
Ayọ̀kúnlé,Joy fills the house.
Ayọ̀mídé,My joy has come.
Ayọọlá,The joy of success.
Ayọ̀túndé,Joy has come again.
Ayọ̀túnjí,Joy has woken up again.
Ayọ̀wùnmí,Joy attracts me.
Alọfẹ,He who uses the power to disappear.
Alákijà,
Akínyọ̀óyè,Valor rejoices into chieftaincy.
Adégùnlóyè,The crown has had a long reign.
Abọ́badé,He who comes with the king.
Akínrógundé,The valiant one finds war to arrive to.
Arógundádé,One who puts on a crown on the sight of war.
Awóyídé,
Awóyọdé,The cult has arrived.
Aróbíẹkẹ́,One who stands firm like the rafter.
Àgbétúnsìn,The Àgbé divinity is worth worshiping.
Adérìnọ́lá,The crown walks in wealth.
Adélóore,The crown has goodness
Aróbíodu,"One that makes a sound like the ""odu""."
Àlàní,One we survived to have.
Adélérè,The crown has rewards.
Abídè,One given birth to before (me).
Alébíosù,One as glorious as the moon.
Arówólò,One who has found money to utilize.
Adéwọlá,"1. The crown enters into wealth.
2. We have entered into wealth."
Awẹ́lẹ́wà,"The slender, beautiful one."
Ayọ̀dàmọ́pẹ́,Joy is added to thanksgiving.
Awáyéwáserere,One who comes into the world to do good.
Abíára,Born into one's body.
Akínfẹ́nwá,Valor loved me enough to come (to me).
Ayọ̀adé,The joy of the crown.
Ayọ̀dé,Joy arrives.
Ayọ̀,Joy
Àlàbí,One born to the white cloth (of Ọbàtálá)
Akínbọ̀dé,The valiant one has returned.
Akíntidé,The valiant one has come.
Àmọ̀tẹ́kùn,Leopard
Akinọlá,The valor of wealth.
Adéọlá,The pinnacle of nobility.
Akíntilọ,The valiant one has gone/returned.
Adéìtẹ́,Royalty does not fade.
Aláké,The owner of Aké.
Adétórera,"The crown is enough for loving oneself. 

[verification needed]"
Aiyélẹ́rù,"(Same as Ayélẹrù)
The world has frights. The world is a scary place."
Ayọ̀túndùn,Joy is sweet again.
Adegùntẹ́,The crown has ascended the throne.
Adékẹ́yè,The crown flatters the title/position.
Àkẹ́jù,One who is over pampered.
Adùnadé,The sweetness of the crown.
Adéṣínà,The crown opened the way.
Adégẹyè,"The crown befits the title.

[verification needed]"
Arígbábù,One with a calabash big enough to scoop (money).
Àbẹ̀bí,Someone (usually female) born after a lot of persuasion.
Àyàntọ́lá,The drummer is worth wealth.
Awósùsì,The oracle made fame.
Adépẹ̀rọ̀,The crown calls for calm.
Adégbuyì,"1. The crown receives honour.
2. One who arrives to receive honour."
Abídogun,Given birth to in anticipation of war.
Adébárá,"1. The crown meets family.
2. We arrived to meet family."
Alánàmú,One we have to stretch to catch.
Adémilókun,[unknown]
Adéjùmọ̀,The crown collaborates.
Adébímpé,The crown gave birth to me complete.
Amọ́jẹ̀,[unknown]
Àmọ̀pé,"1. One whose knowledge is complete. 
2. One we know completely."
Adélẹgàn,The crown has no blemish.
Arómirẹ́,One who is friendly with water.
Ayọ̀kúnnú,Joy fills (my) inside.
Ayọ̀kúnmi,I'm filled with joy.
Àfọ̀njá,[unknown]
Adékúnbi,The crown has been added to the family.
Ajàgbé,One who fights and escapes.
Awónúsì,The oracle has (a notable) reputation.
Ayòkún,Abundant joy.
Akínbí,"Given birth to by a valiant one.
[Variant of Akínbíyìí]"
Afọlákẹ́,One petted or blessed with wealth.
Àbámọdá,"I have a plan.

[verification needed]"
Abániwọ́ndá,They are only plotting.
Àbánikándá,The ant can only plot...
Akínyẹdé,"Valor is worthwhile.

[verification needed]"
Adéfióyè,The crown puts into honour.
Àbọ̀lorẹ,"Gift is returning.

[verification needed]"
Adáraníjọ,Good in company.
Adédigba,Royalty/prestige has becomes multiplied into many folds (two hundred).
Adédiní,The crown becomes a person.
Adẹ́rùpọkọ̀,One big enough to weigh down a vehicle.
Àshàkẹ́,One to cherish.
Akíndẹ̀ìndé,"Akin has returned.
[verification needed]"
Akíndẹ̀hìndé,"Valor has returned.
[verification needed]"
Akíndẹ̀yìndé,The valiant one has returned.
Atọ́lágbé,"1. One big enough to live in wealth.
2. One capable enough to carry wealth/nobility."
Àbẹ̀kẹ́,"One begged to pet, care for."
Adéyọńbọ,[unknown]
Alábẹléwé,One with a razor on the leaves.
Àshàmú,Pre-selected one.
Agúnléjìká,One with well-set shoulders.
Amọ́lẹ́gbẹ́,"One pure in company.
"
Awótúnsìn,"The oracle is worth worshipping.
[verification needed]"
Adépẹtún,Royalty has grown into branches.
Adéfọlájù,The crown is greater because of wealth.
Agbásàga,One who celebrates culture.
Adágún,"Stagnant.
[A shortened form of Adágúnodò.]"
Adégbọrọ̀,"1. The crown receives riches.
2. We arrived to receive riches."
Ayọ̀dipúpọ̀,Joy becomes plenty.
Àbíkẹ́,Born to be pampered.
Adéshínà,Crown paves the way.
Awódèyí,The oracle becomes this.
Akóredé,One who brings gifts.
Aládégoróyè,The owner of the crown has ascended the throne.
Anímáshahun,A person who gives freely.
Awóbíyí,The cult gave birth to this.
Adéfaratì,What the crown rests on.
Adégbóyèga,The crown increased (our) honour.
Akinlabí,We have given birth to a valiant one.
Ajásin,[unknown]
Abọ́sẹ̀dé,One born with a new week.
Akínsọjí,The valiant one has arisen.
Adédòkun,"The crown becomes the ocean.
[verification needed]"
Abéjidé,One who comes with the rain.
Ayàngúnà,"The drummer succeeds.
[verification needed]"
Awófẹ̀sọ̀,"The cult uses peace... 
[an abridged version of a longer name]"
Àyànlàjà,The drummer solved the quarrel.
Akínsọ̀tọ̀,The valiant one is different.
Anímáshaun,One who has and gives freely.
Awófisáyọ̀,The oracle adds to our joy.
Apálówó,"The arms are wealth.
[verification needed]"
Akínyúghà,A warrior is coming to the elders/chiefs meeting place.
Akínkùgbé,The valiant one didn't die in vain. Warriors don't die in vain
Adéyọrí,The crown triumphed.
Akíngbẹ̀yìn,Valor takes the future.
Àdùníadé,One very sweet to have.
Àgbàòsí,There are no elders.
Àkanní,One that is special to have.
Àkànó,A cognomen.
Adéwẹ́bí,The crown seeks relations.
Àbe,A short form of Abíọ́dún.
Ajagùnà,[unknown]
Adénlá,The big crown.
Àjàntálá,"A problem child, as described in the novel Ògbójú Ọdẹ Nínú Igbó Irúnmalẹ̀."
Arówómọlé,"1. One with enough money to know his home.
2. One with enough money to build a house."
Adémidé,My crown has come.
Adémipọ̀,My crown is plenty.
Adémímọ́,The holy crown.
Adémúsìwá,Royalty brought a response. [verification needed]
Àlàgbé,He/she survived to be carried.
Alátiṣe,One ready to work.
Alárán,The one with the velvet.
Aranse,[unknown]
Awómọ̀lú,The herbalist knows the town.
Awótọ̀nà,The oracle followed the right path.
Anúolúwapọ̀,The mercy of the lord is plenty.
Adéàga,The crown of the seat.
Àmọ̀ó,[unknown]
Adémijí,My crown woke up.
Afáríogun,One who shaves his/her head for war.
Adéṣíji,The crown casts a shadow.
Ayọ̀míkún,My joy is full.
Ajánlékokò,The dog is chasing the wolf.
Ajagunọ̀,[unknown]
Adétigbà,"The crown has agreed.
[verification needed]"
Adérìnmáyọ̀,The crown walks with joy.
Akínrìnmáyọ̀,Valor walks with joy.
Akínrìnsáyọ̀,Valor walks into joy.
Adérìnsáyọ̀,The crown walks into joy.
Àgòrò,Tall one.
Àdùbí,One we struggled to birth.
Aláfẹ́,The fanciful one.
Abínúwáíyé,One who came into the world angry.
Aríyìkẹ́,We have this (one) to pet.
Àdùfẹ́,One that many people want to date/marry/love.
Àgbẹ̀dẹ,The welder.
Akilápá,"One with strong, thick, arms."
Aládéògo,The owner of a glorious crown.
Akéwúlà,One who survives by the Qur'an.
Ànfàní,Benefit.
Afúrúngbìn,The sower of seeds.
Àpáta,The rock.
Akéúlà,One who survives reciting the Qur'an.
Àjọkẹ́,"Jointly cherished, jointly beloved."
Àbẹ̀fẹ́,"One begged to love, one whom you begged before she loves/marry you."
Àyànlékè,The drummer triumphs.
Abọ́dúndé,One born during a festival.
Àjànàkú,"1. Elephant
2. A great one"
Ayélàágbé,Earth is the only place where we can live.
Adúrógbangba,A strong and unwavering supporter.
Abọ́barìn,He who walks/fellowships with the king.
Akéúṣọlá,He who makes wealth through the knowledge of Arabic.
Amíníwọ̀n,One who breathes gently.
Akíngbulé,Valor has taken (over) the house.
Akíngbilé,Valor has taken over the home.
Adémúrewá,The crown brought goodness.
Adébòmí,The crown covers me.
Adésọ̀mí,Royalty relieves me.
Adébọ̀,The crown returns.
Aládékọmọ,"1. The paternity of the child is not in dispute.
2. Royalty does not reject children."
Aláta,A seller of pepper.
Aríwàjoyè,One who brings a good character to this chieftaincy office.
Akínnibọ̀sún,"Valor has fame, reputation."
Aiyégbọ́yìn,The world hears (good) news.
Akínnásọ,Valor has covering.
Agúnbíadé,As well-aligned as a crown.
Akínsanmí,Valor pays me.
Adétimọlé,The crown has found its home.
Akínbọ̀bóyè,Valor returned with honour.
Awópẹ̀tù,The oracle calmed nerves.
Awódẹ̀yìn,unknown.
Awódẹ̀ìn,"The cult is in the past.
[verification needed]"
Aláshẹ́,The owner of the sieve.
Awósànyà,The cult repaid/revenged.
Adéfàjò,"1. The crown has caused an increase.
2. One that arrives and brings blessings/increase."
Àyàntáyọ̀,The drummer is worth joy.
Awódẹ̀hìn,[unknown]
Ayéloyin,Life is sweetness.
Ayélóyún,The world is pregnant.
Akínrìnmádé,Valor walks with the crown.
Aládéjọbí,The crowned one jointly birthed this.
Anífálájé,"One with Ifá in their enterprise.
We have Ifá in our enterprise."
Abọ́lárìnwá,One who walks in with wealth.
Arọ̀lóyè,"1. One with the gentle honour.
2. One relieved of honour."
Akióyè,"One thick in honour.
[verification needed]"
Adémigbùjì,My crown withstands the wind. [verification needed]
Alábìdun,[unknown]
Àrẹbí,"The chief gave birth to.
[verification needed]"
Agbọ́ládé,One who brings wealth.
Àrẹbíyí,The chief gave birth to this.
Alága,Chairman.
Akéwúsọlá,One who recites the Qur'an into wealth.
Àgàràú,[unknown]
Àyànfẹ́,The favourite.
Arígbẹ̀dẹ̀,[unknown]
Afọbajẹ,Kingmaker.
Ajẹ́lẹ̀,Tax collector.
Alápinni,Another way of writing Alápini. [meaning unknown]
Ajélẹ́yẹ,Business has honour.
Ashímọlówó,Another way of writing Asimolówó
Akàsí,[unknown]
Aṣúbíaró,One as dark as the dye.
Ayéyẹmí,"Life befits, honours, me."
Ayépémi,The world pays me.
Alẹ́ṣinlọ́yẹ́,One with a horse in Harmattan.
Adéọba,The king's crown.
Apàse,The commander.
Afúnshọ́,One given to care for.
Afúntọ́,One given to raise.
Aládéga,The owner of the crown is tall/big.
Adédẹ̀wẹ́,[unknown]
Awómọ̀lọ̀,"The oracle knows how to grind it.
[verification needed]"
Adétìmẹ́hìn,The crown hasn't become last.
Adénírújú,The crown isn't confused.
Awóyẹmí,The oracle befits me.
Abọ́lárìn,One who who walks with wealth.
Àyànshínà,The drummer opened the way.
Abọ́dúnr̀in,One who walks with the year.
Àrẹọlá,Commander of wealth.
Adépọ̀jù,There are too many crowns.
